Account,total_pnl,total_fees,num_trades,num_wins,num_closes,avg_trade_size,total_volume,num_longs,num_shorts,active_days,net_pnl,win_rate,long_short_ratio,avg_daily_trades,pnl_per_trade,frequency_segment,performance_segment,size_segment,cluster,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,7405.312304,3818,1373,1732,16159.57673389209,61697263.97,571,3248,24,1592824.507675,79.27251732101617,0.17580049261083744,159.08333333333334,419.1277684596647,Frequent,Consistent Winner,High Size,2,Moderate / Cautious Traders
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,2729.83788853,7280,3223,4166,1653.2263269230768,12035487.66,3385,3886,52,45155.48262547,77.36437830052807,0.8710756562017499,140.0,6.5776539167582415,Frequent,Consistent Winner,Low Size,0,Moderate / Cautious Traders
0x271b280974205ca63b716753467d5a371de622ab,-70436.191318,9280.98285,3809,1150,1607,8893.000897873459,33873440.42,179,3628,12,-79717.174168,71.5619166148102,0.049338478500551265,317.4166666666667,-18.49204287687057,Frequent,Net Loser,High Size,0,Moderate / Cautious Traders
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,2218.3673664509,13311,5838,6772,507.6269326121253,6757022.1,7551,5763,162,130246.44718754911,86.20791494388659,1.31025507548152,82.16666666666667,9.951529904139434,Frequent,Consistent Winner,Low Size,0,Moderate / Cautious Traders
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,3108.196722,3239,1684,2060,3138.894782340228,10166880.2,3237,2,69,165549.808272,81.74757281553397,1618.5,46.94202898550725,52.0710111126891,Infrequent,Consistent Winner,Low Size,0,Moderate / Cautious Traders
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,147.07476338,815,371,570,1729.9411042944785,1409902.0,134,646,43,-31350.67474938,65.08771929824562,0.20743034055727555,18.953488372093023,-38.28662574969325,Infrequent,Net Loser,Low Size,0,Moderate / Cautious Traders
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919335999997,1458.65712607,3589,1176,1767,4790.5754862078575,17193375.42,702,2888,46,12998.262209929997,66.553480475382,0.24307479224376732,78.02173913043478,4.0281190682641395,Infrequent,Consistent Winner,High Size,0,Moderate / Cautious Traders
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243,176.274175917,332,158,158,3445.471265060241,1143896.46,249,79,28,53319.973067082996,100.0,3.151898734177215,11.857142857142858,161.13327482831323,Infrequent,Consistent Winner,High Size,2,Moderate / Cautious Traders
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,267.967088979,383,90,90,5189.367127937337,1987527.6099999999,36,348,20,199237.625643021,100.0,0.10344827586206896,19.15,520.9023308929503,Infrequent,Consistent Winner,High Size,2,Moderate / Cautious Traders
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,747.006931,1237,599,599,2397.824753435732,2966109.22,878,337,28,415794.86541,100.0,2.605341246290801,44.17857142857143,336.735547567502,Infrequent,Consistent Winner,Low Size,2,Moderate / Cautious Traders
