date,sentiment_binary,classification,value,total_pnl,total_fees,num_trades,num_wins,num_closes,avg_trade_size,total_volume,num_longs,num_shorts,unique_traders,net_pnl,win_rate,long_short_ratio
2023-05-01,Greed,Greed,63,0.0,0.0,3,0,0,159.0,477.0,3,0,1,0.0,,
2023-12-05,Greed,Extreme Greed,75,0.0,12.501455,9,0,0,5556.203333333334,50005.83,7,2,1,-12.501455,,3.5
2023-12-14,Greed,Greed,72,-205.43473700000007,28.300831000000002,11,4,6,10291.213636363636,113203.35,7,4,1,-233.73556800000006,66.66666666666666,1.75
2023-12-15,Greed,Greed,70,-24.632033999999997,2.652489,2,0,2,5304.975,10609.95,0,2,1,-27.284522999999997,0.0,0.0
2023-12-16,Greed,Greed,67,0.0,3.8371890000000004,3,0,0,5116.256666666667,15348.77,3,0,1,-3.8371890000000004,,
2023-12-17,Greed,Greed,73,304.982785,29.069499,14,7,11,8305.572857142857,116278.02,14,0,1,275.91328599999997,63.63636363636363,
2023-12-18,Greed,Greed,65,0.0,7.791045,2,0,0,15582.089999999998,31164.179999999997,2,0,1,-7.791045,,
2023-12-19,Greed,Greed,73,1000.5386120000001,22.900596,15,10,10,6106.827333333334,91602.41,15,0,1,977.6380160000001,100.0,
2023-12-20,Greed,Greed,74,162.732282,35.409187,18,8,8,7868.710555555556,141636.79,18,0,1,127.323095,100.0,
2023-12-21,Greed,Greed,70,537.211402,31.308469,49,26,27,2555.795306122449,125233.97,49,0,1,505.902933,96.29629629629629,
2023-12-22,Greed,Greed,74,141.832675,22.218566000000003,10,2,2,8887.428,88874.28,10,0,1,119.61410899999998,100.0,
2023-12-23,Greed,Greed,70,146.936704,19.609555,13,8,8,6033.711538461538,78438.25,13,0,1,127.32714899999999,100.0,
2023-12-24,Greed,Greed,71,1008.619956,100.738715,39,15,17,10332.177948717948,402954.94,32,7,1,907.881241,88.23529411764706,4.571428571428571
2023-12-25,Greed,Greed,73,-245.081348,14.987124999999999,3,0,1,19982.836666666666,59948.51,3,0,1,-260.068473,0.0,
2023-12-27,Greed,Greed,73,-704.8892269999999,42.852747,28,4,13,6121.823571428571,171411.06,28,0,1,-747.7419739999999,30.76923076923077,
2023-12-28,Greed,Greed,73,-970.730876,25.0293,23,0,13,4352.923913043478,100117.25,23,0,1,-995.760176,0.0,
2023-12-29,Greed,Greed,65,508.92214299999995,142.389901,50,15,20,11391.1944,569559.72,37,13,1,366.53224199999994,75.0,2.8461538461538463
2023-12-30,Greed,Greed,68,354.998648,175.637526,52,23,33,13510.58096153846,702550.21,35,17,1,179.361122,69.6969696969697,2.0588235294117645
