date,Account,sentiment_binary,classification,value,daily_pnl,total_fees,num_trades,num_wins,num_closes,avg_trade_size,total_volume,num_longs,num_shorts,net_pnl,win_rate,long_short_ratio
2023-05-01,0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Greed,Greed,63,0.0,0.0,3,0,0,159.0,477.0,3,0,0.0,,
2023-12-05,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Extreme Greed,75,0.0,12.501455,9,0,0,5556.203333333334,50005.83,7,2,-12.501455,,3.5
2023-12-14,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,72,-205.43473700000007,28.300831000000002,11,4,6,10291.213636363636,113203.35,7,4,-233.73556800000006,66.66666666666666,1.75
2023-12-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,70,-24.632033999999997,2.652489,2,0,2,5304.975,10609.95,0,2,-27.284522999999997,0.0,0.0
2023-12-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,67,0.0,3.8371890000000004,3,0,0,5116.256666666667,15348.77,3,0,-3.8371890000000004,,
2023-12-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,73,304.982785,29.069499,14,7,11,8305.572857142857,116278.02,14,0,275.91328599999997,63.63636363636363,
2023-12-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,65,0.0,7.791045,2,0,0,15582.089999999998,31164.179999999997,2,0,-7.791045,,
2023-12-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,73,1000.5386120000001,22.900596,15,10,10,6106.827333333334,91602.41,15,0,977.6380160000001,100.0,
2023-12-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,74,162.732282,35.409187,18,8,8,7868.710555555556,141636.79,18,0,127.323095,100.0,
2023-12-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,70,537.211402,31.308469,49,26,27,2555.795306122449,125233.97,49,0,505.902933,96.29629629629629,
2023-12-22,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,74,141.832675,22.218566000000003,10,2,2,8887.428,88874.28,10,0,119.61410899999998,100.0,
2023-12-23,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,70,146.936704,19.609555,13,8,8,6033.711538461538,78438.25,13,0,127.32714899999999,100.0,
2023-12-24,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,71,1008.619956,100.738715,39,15,17,10332.177948717948,402954.94,32,7,907.881241,88.23529411764706,4.571428571428571
2023-12-25,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Greed,Greed,73,-245.081348,14.987124999999999,3,0,1,19982.836666666666,59948.51,3,0,-260.068473,0.0,
